School
Villanova +100
Purdue +270
West Virginia+650
Texas Tech+800
Wichita State+800
Florida+1800
Virginia Tech+3000
Alabama +4000
Butler+4500
Arkansas +5000
UCLA+5000
St. Bonaventure +7000
Stephen F. Austin +7000
Murray State+10000
CS Fullerton+10000
Marshall +10000
Long Island+20000
Radford +20000
Duke +180
Michigan State+230
Kansas+250
Auburn +800
TCU+1400
Clemson +1500
Rhode Island +2800
Seton Hall +3000
Oklahoma +6000
NC State+6500
Arizona State +8000
New Mexico State+8000
Syracuse +8000
Bucknell +9000
Coll Charleston+9000
Iona +15000
Pennsylvania+15000
Virginia+125
Cincinnati +270
Arizona +350
Tennessee+600
Kentucky +750
Nevada +3000
Miami Florida+4000
Creighton +5000
Kansas State+7500
Texas+7500
Davidson+9000
Loyola Chicago+9000
Buffalo +10000
Wright State+10000
Georgia State+20000
MD Baltimore County+20000
North Carolina +300
Gonzaga +325
Michigan +350
Xavier+400
Ohio State+1100
Houston U+1200
Texas A&M +1200
Missouri +1400
Florida State+2600
Providence +3300
San Diego State+5000
South Dakota State+6000
Lipscomb +10000
Montana+10000
NC Greensboro+10000
Texas Southern+20000
NC Central+20000
