School
Villanova +600
Virginia+650
Duke +800
Kansas+1000
Purdue +1200
Cincinnati +1200
Michigan State+1200
Arizona +1200
Michigan +1400
Xavier+1400
North Carolina +1400
Gonzaga+1500
Kentucky +1600
West Virginia+2500
Texas Tech+4000
Tennessee+4000
Wichita State+4500
Missouri +4500
Auburn +6000
Ohio State+8000
Florida+9000
Houston U+10000
Providence +10000
Rhode Island +15000
Texas A&M +15000
TCU+15000
Clemson +15000
Miami Florida+15000
Oklahoma +20000
San Diego State+20000
Arkansas +25000
Alabama +25000
Davidson+25000
Seton Hall +25000
Texas+25000
Loyola Chicago+25000
NC State+25000
Butler+30000
UCLA+30000
Creighton +35000
Florida State+35000
Arizona State +50000
Kansas State+50000
Marshall +50000
Montana+50000
Nevada +50000
New Mexico State+50000
Stephen F. Austin +50000
Syracuse +50000
Virginia Tech+50000
Wright State+50000
Bucknell +70000
MD Baltimore County+100000
Buffalo +100000
CS Fullerton+100000
Coll Charleston+100000
Georgia State+100000
Iona +100000
Lipscomb +100000
Long Island+100000
Murray State+100000
NC Central+100000
NC Greensboro+100000
Pennsylvania+100000
Radford +100000
South Dakota State+100000
St. Bonaventure +100000
Texas Southern+100000
