Ast,Blk,DR,DayNum,FGA,FGA3,FGM,FGM3,FTA,FTM,OR,PF,Score,Season,Stl,TO,TeamID,Win%
12.53,5.47,26.26,73.74,55.21,19.68,25.29,6.38,22.88,15.38,10.03,19.0,72.35,2018.0,6.41,14.15,1104.0,0.56
13.03,3.79,22.94,74.62,53.88,18.65,24.35,5.91,23.47,16.21,11.5,17.18,70.82,2018.0,5.91,13.74,1272.0,0.62
12.52,2.94,25.26,65.68,56.9,15.52,25.87,5.71,21.03,15.87,11.61,16.26,73.32,2018.0,4.71,11.74,1107.0,0.68
15.94,3.06,25.3,71.15,61.12,24.91,28.24,9.67,18.55,13.7,8.52,17.3,79.85,2018.0,6.79,11.67,1233.0,0.61
15.24,4.56,26.62,72.03,57.03,18.35,28.82,6.91,21.47,16.32,10.03,17.5,80.88,2018.0,4.97,12.29,1112.0,0.79
9.53,3.2,23.3,71.03,54.33,18.23,21.63,5.57,23.13,16.2,9.87,19.9,65.03,2018.0,5.53,15.6,1319.0,0.13
14.16,3.58,25.32,69.9,60.26,24.55,27.97,8.94,25.26,18.65,9.9,18.94,83.52,2018.0,6.58,10.71,1113.0,0.65
11.79,2.32,24.64,74.96,54.71,21.32,25.89,8.39,18.89,12.89,6.32,17.68,73.07,2018.0,5.68,13.0,1226.0,0.43
14.47,4.62,24.59,74.32,60.68,19.44,28.97,7.79,22.65,15.35,10.18,20.21,81.09,2018.0,6.24,11.0,1116.0,0.68
16.1,2.4,21.63,67.8,57.5,24.57,26.7,9.13,17.7,13.67,8.2,16.83,76.2,2018.0,6.93,13.6,1359.0,0.27
14.44,5.41,26.03,70.97,61.78,26.62,27.12,9.75,24.66,19.38,12.12,19.88,83.38,2018.0,7.44,12.25,1120.0,0.78
13.47,3.2,25.57,73.77,59.63,20.8,25.6,7.7,18.67,12.43,11.8,21.43,71.33,2018.0,6.03,15.17,1313.0,0.43
14.32,4.32,26.16,71.13,58.71,17.58,27.13,6.16,19.0,14.06,11.81,18.23,74.48,2018.0,5.55,13.52,1124.0,0.55
15.97,4.97,25.88,70.22,61.16,23.06,27.59,8.38,22.69,16.72,9.97,19.94,80.28,2018.0,6.59,13.91,1146.0,0.5
11.31,4.07,24.83,65.07,56.41,21.28,24.31,7.41,16.9,10.76,9.14,17.28,66.79,2018.0,5.21,12.34,1127.0,0.31
12.45,2.79,24.38,73.69,60.79,15.24,25.41,4.97,23.76,17.28,13.34,20.07,73.07,2018.0,7.24,13.62,1288.0,0.38
14.26,3.18,26.56,71.41,60.0,23.88,27.15,8.65,18.74,13.85,10.56,16.29,76.79,2018.0,5.03,12.71,1130.0,0.56
11.3,2.97,25.27,67.27,58.23,22.77,23.43,6.73,17.0,11.77,9.5,19.7,65.37,2018.0,6.23,15.77,1263.0,0.13
12.77,2.63,26.53,70.97,61.0,21.3,25.2,7.3,22.3,16.4,11.57,17.87,74.1,2018.0,5.7,12.8,1132.0,0.47
11.34,4.16,25.06,69.5,60.47,21.09,26.56,6.78,19.22,13.81,11.25,17.53,73.72,2018.0,5.28,12.28,1180.0,0.38
14.0,2.94,24.79,68.52,61.85,23.0,29.21,8.18,16.24,12.52,9.21,18.24,79.12,2018.0,6.73,11.18,1139.0,0.61
14.39,3.04,22.0,66.5,58.43,14.14,26.18,5.21,20.39,14.11,10.14,18.32,71.68,2018.0,7.07,13.79,1244.0,0.29
15.97,5.53,25.85,73.29,58.0,20.44,26.26,7.29,21.32,14.65,13.06,15.82,74.47,2018.0,7.29,11.47,1153.0,0.88
15.5,2.7,24.5,68.97,72.73,40.3,28.87,12.17,21.33,14.83,12.63,19.2,84.73,2018.0,9.1,14.07,1366.0,0.43
13.19,4.84,26.5,71.16,55.81,22.69,25.28,8.31,19.03,14.41,8.97,16.0,73.28,2018.0,5.69,12.09,1155.0,0.72
12.83,2.83,22.4,69.43,57.67,21.53,23.47,7.1,18.33,12.83,10.9,18.03,66.87,2018.0,7.67,15.33,1441.0,0.37
11.06,3.68,24.45,73.42,56.16,20.84,25.87,7.58,20.68,15.87,8.35,16.65,75.19,2018.0,5.35,9.87,1158.0,0.77
11.09,3.25,24.75,67.0,55.94,18.75,23.5,6.88,20.38,13.81,11.06,20.03,67.69,2018.0,4.78,15.09,1373.0,0.25
12.78,3.81,27.38,69.78,57.47,21.0,25.31,7.53,19.12,13.94,10.12,19.41,72.09,2018.0,4.38,14.09,1160.0,0.53
11.48,3.58,27.39,74.87,60.97,23.9,28.26,8.39,20.23,14.13,9.68,19.74,79.03,2018.0,4.74,12.55,1294.0,0.61
12.61,3.1,25.77,66.68,60.23,21.23,25.1,7.0,20.35,14.65,11.61,19.61,71.84,2018.0,5.87,13.55,1161.0,0.32
12.7,3.37,23.4,72.3,56.5,18.13,24.57,6.27,15.73,10.8,8.37,18.13,66.2,2018.0,5.27,12.0,1170.0,0.17
10.44,3.72,23.84,70.75,57.25,20.59,23.81,6.72,18.53,13.81,10.5,18.5,68.16,2018.0,5.94,12.59,1163.0,0.44
12.71,3.26,23.19,72.45,56.97,25.94,24.84,9.42,16.45,12.61,8.87,16.39,71.71,2018.0,6.13,11.0,1159.0,0.58
17.84,2.45,28.71,68.0,61.58,27.52,30.55,10.35,16.71,12.52,7.19,15.32,83.97,2018.0,5.48,11.35,1166.0,0.65
