TeamID,TeamName,num_of_sweet_16,num_of_elite_8,num_of_final_4,num_of_top_2,num_of_title
1101,Abilene Chr,,,,,
1102,Air Force,0.0,0.0,0.0,0.0,0.0
1103,Akron,0.0,0.0,0.0,0.0,0.0
1104,Alabama,7.0,1.0,0.0,0.0,0.0
1105,Alabama A&M,0.0,0.0,0.0,0.0,0.0
1106,Alabama St,,,,,
1107,Albany NY,,,,,
1108,Alcorn St,,,,,
1109,Alliant Intl,,,,,
1110,American Univ,,,,,
1111,Appalachian St,,,,,
1112,Arizona,19.0,11.0,4.0,2.0,1.0
1113,Arizona St,,,,,
1114,Ark Little Rock,,,,,
1115,Ark Pine Bluff,,,,,
1116,Arkansas,11.0,10.0,6.0,2.0,1.0
1117,Arkansas St,,,,,
1118,Armstrong St,,,,,
1119,Army,,,,,
1120,Auburn,4.0,1.0,0.0,0.0,0.0
1121,Augusta,,,,,
1122,Austin Peay,0.0,0.0,0.0,0.0,0.0
1123,Ball St,,,,,
1124,Baylor,4.0,4.0,2.0,1.0,0.0
1125,Belmont,0.0,0.0,0.0,0.0,0.0
1126,Bethune-Cookman,,,,,
1127,Binghamton,0.0,0.0,0.0,0.0,0.0
1128,Birmingham So,,,,,
1129,Boise St,,,,,
1130,Boston College,9.0,3.0,0.0,0.0,0.0
1131,Boston Univ,,,,,
1132,Bowling Green,1.0,0.0,0.0,0.0,0.0
1133,Bradley,3.0,3.0,2.0,2.0,0.0
1134,Brooklyn,,,,,
1135,Brown,0.0,1.0,0.0,0.0,0.0
1136,Bryant,,,,,
1137,Bucknell,0.0,0.0,0.0,0.0,0.0
1138,Buffalo,0.0,0.0,0.0,0.0,0.0
1139,Butler,6.0,2.0,2.0,2.0,0.0
1140,BYU,7.0,3.0,0.0,0.0,0.0
1141,C Michigan,,,,,
1142,Cal Poly SLO,,,,,
1143,California,4.0,3.0,3.0,2.0,1.0
1144,Campbell,0.0,0.0,0.0,0.0,0.0
1145,Canisius,3.0,2.0,0.0,0.0,0.0
1146,Cent Arkansas,,,,,
1147,Centenary,,,,,
1148,Central Conn,,,,,
1149,Charleston So,,,,,
1150,Charlotte,1.0,1.0,1.0,0.0,0.0
1151,Chattanooga,1.0,0.0,0.0,0.0,0.0
1152,Chicago St,,,,,
1153,Cincinnati,13.0,8.0,6.0,3.0,2.0
1154,Citadel,,,,,
1155,Clemson,2.0,1.0,0.0,0.0,0.0
1156,Cleveland St,,,,,
1157,Coastal Car,,,,,
1158,Col Charleston,,,,,
1159,Colgate,0.0,0.0,0.0,0.0,0.0
1160,Colorado,5.0,6.0,2.0,0.0,0.0
1161,Colorado St,,,,,
1162,Columbia,2.0,1.0,0.0,0.0,0.0
1163,Connecticut,17.0,11.0,5.0,4.0,4.0
1164,Coppin St,,,,,
1165,Cornell,2.0,0.0,0.0,0.0,0.0
1166,Creighton,3.0,1.0,0.0,0.0,0.0
1167,CS Bakersfield,,,,,
1168,CS Fullerton,,,,,
1169,CS Northridge,,,,,
1170,CS Sacramento,,,,,
1171,Dartmouth,2.0,5.0,2.0,2.0,0.0
1172,Davidson,4.0,3.0,0.0,0.0,0.0
1173,Dayton,7.0,3.0,1.0,1.0,0.0
1174,Delaware,0.0,0.0,0.0,0.0,0.0
1175,Delaware St,,,,,
1176,Denver,,,,,
1177,DePaul,8.0,3.0,2.0,0.0,0.0
1178,Detroit,1.0,0.0,0.0,0.0,0.0
1179,Drake,3.0,3.0,1.0,0.0,0.0
1180,Drexel,0.0,0.0,0.0,0.0,0.0
1181,Duke,29.0,20.0,16.0,11.0,5.0
1182,Duquesne,2.0,2.0,1.0,0.0,0.0
1183,E Illinois,,,,,
1184,E Kentucky,,,,,
1185,E Michigan,,,,,
1186,E Washington,,,,,
