AP_max,AP_mean,AP_min,EBP_max,EBP_mean,EBP_min,ESR_max,ESR_mean,ESR_min,RPI_max,RPI_mean,RPI_min,TeamID,USA_max,USA_mean,USA_min
23.0,13.81,2.0,24,18.67,8,34,25.55,20,32,19.71,13,1112,23.0,15.25,4.0
25.0,20.43,16.0,45,32.56,16,67,47.91,35,134,88.36,46,1124,24.0,20.29,16.0
25.0,12.67,5.0,8,5.94,4,33,14.36,6,111,31.71,6,1153,22.0,12.12,5.0
12.0,4.39,1.0,14,6.78,3,10,6.18,1,10,3.43,1,1181,10.0,4.0,1.0
23.0,15.22,5.0,39,25.83,9,48,31.64,15,99,53.86,24,1196,24.0,15.56,5.0
20.0,12.61,6.0,23,11.78,7,30,21.45,12,73,44.93,21,1211,19.0,12.72,6.0
14.0,8.22,2.0,8,5.11,1,22,11.73,6,22,10.64,5,1242,13.0,7.67,2.0
24.0,14.23,7.0,38,31.5,21,33,21.82,15,34,19.0,10,1246,25.0,13.79,4.0
19.0,18.0,17.0,54,37.44,27,59,40.55,20,119,41.71,15,1257,18.0,17.0,16.0
25.0,15.38,6.0,35,21.72,13,39,24.09,13,49,27.5,17,1274,25.0,16.86,7.0
9.0,3.39,1.0,15,6.5,3,18,7.45,2,30,16.86,3,1277,9.0,3.39,1.0
14.0,13.5,12.0,102,58.44,20,106,81.09,46,171,101.07,43,1278,15.0,14.25,12.0
21.0,12.28,5.0,16,9.72,7,14,8.64,5,11,5.93,2,1314,22.0,11.72,4.0
20.0,20.0,20.0,76,57.83,34,93,82.18,66,169,115.57,75,1321,20.0,20.0,20.0
18.0,11.6,5.0,38,21.44,5,75,57.45,30,97,68.71,37,1323,25.0,13.67,5.0
21.0,10.47,3.0,5,2.94,2,10,5.82,3,21,11.57,7,1345,21.0,10.59,3.0
23.0,19.44,13.0,37,27.61,19,35,21.64,11,31,19.07,4,1371,24.0,20.4,15.0
22.0,18.1,11.0,32,21.33,12,52,38.0,22,91,44.07,24,1388,23.0,18.4,12.0
21.0,11.33,5.0,43,33.06,19,43,31.09,11,37,22.07,5,1401,19.0,10.86,6.0
23.0,23.0,23.0,76,63.39,53,74,55.82,32,116,59.57,36,1417,25.0,22.25,18.0
25.0,14.75,10.0,57,48.22,42,97,68.18,54,56,42.71,27,1425,25.0,16.0,10.0
5.0,2.39,1.0,3,1.33,1,4,2.36,1,8,3.79,2,1437,6.0,2.39,1.0
24.0,14.67,2.0,15,10.78,9,23,13.91,3,35,24.5,10,1452,21.0,13.0,2.0
22.0,10.5,3.0,13,7.89,1,34,21.82,12,30,19.43,12,1455,21.0,10.78,3.0
21.0,8.39,3.0,14,11.78,7,9,4.27,2,17,4.79,2,1462,20.0,8.33,2.0
35.0,35.0,35.0,283,251.0,226,266,234.91,207,273,245.71,209,1101,35.0,35.0,35.0
35.0,35.0,35.0,294,266.06,198,286,246.64,223,328,269.93,234,1102,35.0,35.0,35.0
35.0,35.0,35.0,272,241.33,220,246,220.91,180,264,234.93,170,1103,35.0,35.0,35.0
25.0,24.5,24.0,57,46.28,27,78,56.55,48,58,35.71,24,1104,25.0,25.0,25.0
35.0,35.0,35.0,351,349.78,348,348,340.73,328,351,345.71,336,1105,35.0,35.0,35.0
35.0,35.0,35.0,349,344.28,340,346,336.18,326,345,333.93,321,1106,35.0,35.0,35.0
35.0,35.0,35.0,139,122.0,102,135,119.91,75,177,137.0,116,1107,35.0,35.0,35.0
35.0,35.0,35.0,339,335.72,329,336,326.36,297,348,324.57,250,1108,35.0,35.0,35.0
35.0,35.0,35.0,335,327.22,316,339,323.64,295,336,307.14,241,1110,35.0,35.0,35.0
35.0,35.0,35.0,238,193.28,160,266,243.09,226,287,252.93,225,1111,35.0,35.0,35.0
25.0,13.55,3.0,59,36.11,17,71,38.09,2,66,27.71,3,1113,25.0,14.42,4.0
35.0,35.0,35.0,318,291.17,267,351,328.91,321,324,306.21,274,1114,35.0,35.0,35.0
35.0,35.0,35.0,343,333.89,326,346,317.55,292,350,321.57,294,1115,35.0,35.0,35.0
22.0,22.0,22.0,46,35.89,23,44,34.55,20,41,22.36,4,1116,23.0,23.0,23.0
35.0,35.0,35.0,269,238.67,180,304,283.73,271,343,300.57,275,1117,35.0,35.0,35.0
35.0,35.0,35.0,234,185.72,138,275,220.0,161,283,230.86,179,1119,35.0,35.0,35.0
22.0,14.5,8.0,40,26.39,14,24,11.64,5,59,16.57,5,1120,24.0,16.0,9.0
35.0,35.0,35.0,289,233.22,202,213,180.91,160,267,205.36,164,1122,35.0,35.0,35.0
35.0,35.0,35.0,177,149.11,113,156,118.36,76,130,106.71,75,1123,35.0,35.0,35.0
35.0,35.0,35.0,118,94.11,74,99,85.36,72,115,82.93,68,1125,35.0,35.0,35.0
35.0,35.0,35.0,339,314.0,292,321,280.09,258,337,303.86,275,1126,35.0,35.0,35.0
35.0,35.0,35.0,278,246.67,211,316,289.09,220,328,291.64,216,1127,35.0,35.0,35.0
35.0,35.0,35.0,83,56.44,47,62,42.09,27,53,38.64,25,1129,35.0,35.0,35.0
35.0,35.0,35.0,109,85.72,74,72,62.82,54,101,81.5,65,1130,35.0,35.0,35.0
35.0,35.0,35.0,232,203.94,176,261,223.45,184,273,220.07,172,1131,35.0,35.0,35.0
35.0,35.0,35.0,274,247.94,233,215,182.91,136,214,191.86,164,1132,35.0,35.0,35.0
35.0,35.0,35.0,201,144.67,120,133,116.91,103,157,114.79,84,1133,35.0,35.0,35.0
35.0,35.0,35.0,314,261.33,231,251,216.0,184,298,260.57,226,1135,35.0,35.0,35.0
35.0,35.0,35.0,339,332.72,304,347,339.82,331,341,320.29,253,1136,35.0,35.0,35.0
35.0,35.0,35.0,109,92.33,74,141,104.09,87,148,104.93,80,1137,35.0,35.0,35.0
35.0,35.0,35.0,173,122.39,81,97,69.18,32,99,38.57,25,1138,35.0,35.0,35.0
35.0,35.0,35.0,82,43.72,23,40,31.0,18,45,33.71,20,1139,35.0,35.0,35.0
35.0,35.0,35.0,101,65.06,53,82,66.0,51,97,72.07,49,1140,35.0,35.0,35.0
35.0,35.0,35.0,184,148.72,117,217,178.18,92,195,143.5,57,1141,35.0,35.0,35.0
35.0,35.0,35.0,326,300.39,268,311,296.09,274,305,275.93,206,1142,35.0,35.0,35.0
35.0,35.0,35.0,268,246.78,181,265,241.18,205,238,194.36,164,1143,35.0,35.0,35.0
35.0,35.0,35.0,212,187.44,167,300,255.64,232,340,291.43,256,1144,35.0,35.0,35.0
35.0,35.0,35.0,247,173.06,114,208,162.73,135,294,166.29,113,1145,35.0,35.0,35.0
35.0,35.0,35.0,318,230.22,195,242,229.82,219,270,252.64,223,1146,35.0,35.0,35.0
35.0,35.0,35.0,340,303.61,274,281,258.0,206,274,227.64,150,1148,35.0,35.0,35.0
35.0,35.0,35.0,291,244.22,217,307,269.09,239,333,293.36,226,1149,35.0,35.0,35.0
35.0,35.0,35.0,324,288.89,260,326,300.36,262,333,311.36,280,1150,35.0,35.0,35.0
35.0,35.0,35.0,288,271.17,240,315,305.82,267,318,294.57,255,1151,35.0,35.0,35.0
35.0,35.0,35.0,349,347.5,346,348,340.64,324,339,322.29,297,1152,35.0,35.0,35.0
